scenario_id,threat_type,severity,detection_time,escalation_path,outcome,user_id,trigger_events,risk_score,false_positive,mitigation_action,response_time,data_compromised,financial_impact
SCEN_001,data_exfiltration,high,2024-01-15 10:45:12,immediate_escalation,blocked,U001,email_send+usb_access+cloud_upload,0.95,false,account_suspension,5_minutes,financial_data,50000
SCEN_002,privilege_abuse,medium,2024-01-15 09:30:25,monitoring,monitored,U002,hr_database_access,0.35,false,access_review,30_minutes,hr_data,0
SCEN_003,code_theft,high,2024-01-15 11:45:30,immediate_escalation,blocked,U003,git_push_external,0.85,false,repository_lock,10_minutes,source_code,100000
SCEN_004,data_theft,high,2024-01-15 13:20:10,immediate_escalation,blocked,U004,database_export+email_attachment,0.90,false,account_suspension,15_minutes,customer_data,200000
SCEN_005,payroll_fraud,medium,2024-01-15 10:00:45,monitoring,investigated,U005,payroll_access+usb_copy,0.75,false,access_restriction,45_minutes,payroll_data,15000
SCEN_006,normal_activity,low,2024-01-15 09:15:10,no_action,allowed,U006,marketing_access+cloud_sync,0.25,true,no_action,0_minutes,none,0
SCEN_007,research_misconduct,low,2024-01-15 10:30:45,monitoring,investigated,U007,research_data_access,0.40,false,access_review,60_minutes,research_data,0
SCEN_008,network_sabotage,high,2024-01-15 15:30:25,immediate_escalation,blocked,U008,firewall_modification,0.95,false,account_suspension,2_minutes,network_config,50000
SCEN_009,legal_breach,medium,2024-01-15 13:45:15,monitoring,investigated,U009,legal_document_email,0.70,false,access_review,30_minutes,legal_data,25000
SCEN_010,competitive_intelligence,medium,2024-01-15 12:30:10,monitoring,investigated,U010,competitor_access+screenshot,0.60,false,access_review,90_minutes,product_data,10000
SCEN_011,malware_infection,high,2024-01-15 16:00:00,immediate_escalation,contained,UNKNOWN,malware_communication,0.95,false,network_isolation,1_minute,system_integrity,75000
SCEN_012,ransomware_attack,high,2024-01-15 16:30:00,immediate_escalation,contained,UNKNOWN,ransomware_communication,0.95,false,system_shutdown,2_minutes,encrypted_data,150000
SCEN_013,brute_force_attack,high,2024-01-15 17:00:00,immediate_escalation,blocked,ATTACKER,multiple_login_attempts,0.90,false,ip_blocking,1_minute,none,0
SCEN_014,remote_access_attempt,medium,2024-01-15 17:30:00,monitoring,monitored,UNKNOWN,rdp_connection_attempt,0.65,false,connection_monitoring,5_minutes,none,0
SCEN_015,exploit_attempt,high,2024-01-15 18:00:00,immediate_escalation,blocked,ATTACKER,eternal_blue_exploit,0.95,false,network_isolation,1_minute,system_vulnerability,0
SCEN_016,data_hoarding,medium,2024-01-15 14:30:20,monitoring,investigated,U001,multiple_file_access,0.55,false,access_review,120_minutes,financial_data,0
SCEN_017,unauthorized_access,low,2024-01-15 09:00:15,no_action,allowed,U008,network_config_access,0.45,true,no_action,0_minutes,none,0
SCEN_018,policy_violation,medium,2024-01-15 11:20:45,monitoring,investigated,U001,usb_device_use,0.70,false,device_policy_review,60_minutes,financial_data,0
SCEN_019,insider_collaboration,high,2024-01-15 15:45:30,immediate_escalation,investigated,U004+U009,coordinated_data_access,0.80,false,access_suspension,30_minutes,customer_legal_data,50000
SCEN_020,credential_theft,medium,2024-01-15 12:00:20,monitoring,investigated,U007,script_execution,0.50,false,credential_reset,90_minutes,research_data,0
SCEN_021,data_aggregation,low,2024-01-15 10:00:00,no_action,allowed,U002,hr_data_access,0.30,true,no_action,0_minutes,none,0
SCEN_022,cloud_misuse,medium,2024-01-15 14:45:30,monitoring,investigated,U006,unauthorized_cloud_sync,0.45,false,cloud_policy_review,60_minutes,marketing_data,0
SCEN_023,print_abuse,medium,2024-01-15 09:15:30,monitoring,investigated,U001,confidential_print,0.55,false,print_policy_review,45_minutes,financial_data,0
SCEN_024,web_upload_attempt,high,2024-01-15 10:45:12,immediate_escalation,blocked,U001,web_upload_attempt,0.85,false,web_filtering,5_minutes,financial_data,0
SCEN_025,email_exfiltration,high,2024-01-15 15:45:30,immediate_escalation,blocked,U004,email_attachment,0.90,false,email_filtering,10_minutes,customer_data,0
SCEN_026,device_compromise,high,2024-01-15 16:20:15,immediate_escalation,blocked,U005,usb_device_use,0.80,false,device_quarantine,5_minutes,payroll_data,0
SCEN_027,network_reconnaissance,medium,2024-01-15 12:30:10,monitoring,investigated,U010,competitor_website_access,0.60,false,web_monitoring,30_minutes,product_data,0
SCEN_028,data_classification_violation,medium,2024-01-15 13:45:15,monitoring,investigated,U009,confidential_email,0.70,false,classification_review,45_minutes,legal_data,0
SCEN_029,access_pattern_change,low,2024-01-15 08:30:15,monitoring,investigated,U001,unusual_login_time,0.40,false,behavior_analysis,120_minutes,none,0
SCEN_030,privilege_escalation,high,2024-01-15 11:15:40,immediate_escalation,investigated,U008,admin_access_attempt,0.85,false,privilege_review,15_minutes,network_config,0
