user_id,account_type,access_level,action_performed,timestamp,target_system,privilege_escalation,justification,approver_id,session_duration,ip_address,success_status,risk_level,audit_trail
U008,admin,root,firewall_config_access,2024-01-15 11:15:40,firewall_server,true,emergency_maintenance,APPROVER_001,1800,192.168.1.108,success,high,logged
U008,admin,root,firewall_rule_modification,2024-01-15 15:30:25,firewall_server,true,security_update,APPROVER_001,600,192.168.1.108,success,high,logged
U004,privileged,db_admin,database_export,2024-01-15 13:20:10,customer_database,true,data_analysis_request,APPROVER_002,900,192.168.1.104,success,high,logged
U005,privileged,hr_admin,payroll_access,2024-01-15 10:00:45,hr_system,true,monthly_report,APPROVER_003,180,192.168.1.105,success,medium,logged
U005,privileged,hr_admin,salary_data_access,2024-01-15 11:30:20,hr_system,true,audit_request,APPROVER_003,120,192.168.1.105,success,medium,logged
U003,developer,code_admin,git_push_external,2024-01-15 11:45:30,source_control,true,open_source_contribution,APPROVER_004,300,203.45.67.89,success,medium,logged
U001,privileged,finance_admin,financial_data_access,2024-01-15 09:15:30,financial_system,true,quarterly_review,APPROVER_005,180,192.168.1.100,success,medium,logged
U009,privileged,legal_admin,legal_document_access,2024-01-15 09:30:20,legal_system,true,contract_review,APPROVER_006,240,192.168.1.109,success,medium,logged
U002,privileged,hr_user,hr_database_access,2024-01-15 09:30:25,hr_system,false,employee_inquiry,APPROVER_003,180,192.168.1.101,success,low,logged
U006,privileged,marketing_admin,marketing_data_access,2024-01-15 09:15:10,marketing_system,false,strategy_development,APPROVER_007,180,192.168.1.106,success,low,logged
U007,privileged,research_admin,research_data_access,2024-01-15 10:30:45,research_system,false,data_analysis,APPROVER_008,900,192.168.1.107,success,low,logged
U010,privileged,product_admin,product_data_access,2024-01-15 09:45:30,product_system,false,roadmap_planning,APPROVER_009,180,192.168.1.110,success,low,logged
U008,admin,root,network_config_access,2024-01-15 09:00:15,network_server,true,configuration_review,APPROVER_001,120,192.168.1.108,success,high,logged
U004,privileged,db_admin,database_backup,2024-01-15 14:00:00,customer_database,true,scheduled_backup,APPROVER_002,1800,192.168.1.104,success,medium,logged
U005,privileged,hr_admin,employee_data_export,2024-01-15 16:00:00,hr_system,true,regulatory_compliance,APPROVER_003,600,192.168.1.105,success,high,logged
U001,privileged,finance_admin,financial_report_generation,2024-01-15 15:00:00,financial_system,true,board_meeting,APPROVER_005,900,192.168.1.100,success,medium,logged
U009,privileged,legal_admin,legal_document_export,2024-01-15 14:00:00,legal_system,true,external_consultation,APPROVER_006,600,192.168.1.109,success,high,logged
U003,developer,code_admin,repository_access,2024-01-15 10:30:15,source_control,false,code_review,APPROVER_004,600,203.45.67.89,success,low,logged
U006,privileged,marketing_admin,marketing_sync,2024-01-15 14:45:30,marketing_system,false,cloud_synchronization,APPROVER_007,600,192.168.1.106,success,low,logged
U007,privileged,research_admin,research_analysis,2024-01-15 12:00:20,research_system,false,statistical_analysis,APPROVER_008,60,192.168.1.107,success,low,logged
U010,privileged,product_admin,competitor_analysis,2024-01-15 12:30:10,product_system,false,market_research,APPROVER_009,300,192.168.1.110,success,low,logged
U008,admin,root,security_log_access,2024-01-15 16:00:00,security_server,true,incident_investigation,APPROVER_001,1200,192.168.1.108,success,high,logged
U004,privileged,db_admin,database_restore,2024-01-15 17:00:00,customer_database,true,data_recovery,APPROVER_002,3600,192.168.1.104,success,high,logged
U005,privileged,hr_admin,payroll_processing,2024-01-15 18:00:00,hr_system,true,monthly_payroll,APPROVER_003,1800,192.168.1.105,success,high,logged
U001,privileged,finance_admin,financial_audit,2024-01-15 19:00:00,financial_system,true,annual_audit,APPROVER_005,3600,192.168.1.100,success,high,logged
U009,privileged,legal_admin,legal_compliance_check,2024-01-15 20:00:00,legal_system,true,compliance_review,APPROVER_006,1800,192.168.1.109,success,high,logged
U008,admin,root,emergency_access,2024-01-15 21:00:00,all_systems,true,emergency_response,APPROVER_001,7200,192.168.1.108,success,high,logged
U004,privileged,db_admin,emergency_backup,2024-01-15 22:00:00,customer_database,true,disaster_recovery,APPROVER_002,1800,192.168.1.104,success,high,logged
U005,privileged,hr_admin,emergency_data_access,2024-01-15 23:00:00,hr_system,true,emergency_contact,APPROVER_003,600,192.168.1.105,success,high,logged
U001,privileged,finance_admin,emergency_financial_access,2024-01-16 00:00:00,financial_system,true,emergency_funding,APPROVER_005,1800,192.168.1.100,success,high,logged
U009,privileged,legal_admin,emergency_legal_access,2024-01-16 01:00:00,legal_system,true,emergency_consultation,APPROVER_006,1200,192.168.1.109,success,high,logged
